Instrument:,H2S-230807479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Zone Offset (Minutes):,-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orignal File Name:,F:\Pretreat\H2S Odalog Data\Acrulog Raw Data\phils 06-03 to 07-01.acrudata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session ID:,13921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session 1st Title:,phils 06-03 to 07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session Start:,"6/3/2024, 12:17:27 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session End:,"7/1/2024, 1:12:27 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Every 5 mins,,,,,,,,,Every 3 mins,,,,,,,,,,,,,,,,,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time,,,,NH3,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 5:27:27 PM",3.65,108.9,68,0,2024-06-03T21:27:27.000Z,,,,"6/3/2024, 3:24:27 PM",3.655,100.8,88.5,40,2024-06-03T19:24:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 5:32:27 PM",3.65,109.4,67.4,0,2024-06-03T21:32:27.000Z,,,,"6/3/2024, 3:27:27 PM",3.655,100.9,88.5,40,2024-06-03T19:27:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 5:37:27 PM",3.65,109.8,66.7,0,2024-06-03T21:37:27.000Z,,,,"6/3/2024, 3:30:27 PM",3.655,101.1,88.5,40,2024-06-03T19:30:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 5:42:27 PM",3.65,110.1,66.1,0,2024-06-03T21:42:27.000Z,,,,"6/3/2024, 3:33:27 PM",3.655,101.3,88.6,40,2024-06-03T19:33:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 5:47:27 PM",3.65,110.3,65.6,0,2024-06-03T21:47:27.000Z,,,,"6/3/2024, 3:36:27 PM",3.655,101.3,88.6,39,2024-06-03T19:36:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 5:52:27 PM",3.65,110.5,65.2,0,2024-06-03T21:52:27.000Z,,,,"6/3/2024, 3:39:27 PM",3.655,101.3,88.7,40,2024-06-03T19:39:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 5:57:27 PM",3.65,110.8,64.6,0,2024-06-03T21:57:27.000Z,,,,"6/3/2024, 3:42:27 PM",3.655,101.3,88.7,37,2024-06-03T19:42:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 6:02:27 PM",3.65,110.1,64.1,0,2024-06-03T22:02:27.000Z,,,,"6/3/2024, 3:45:27 PM",3.655,101.3,88.7,40,2024-06-03T19:45:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 6:07:27 PM",3.65,110.8,63.7,0,2024-06-03T22:07:27.000Z,,,,"6/3/2024, 3:48:27 PM",3.655,101.1,88.7,38,2024-06-03T19:48:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 6:12:27 PM",3.65,111.9,63.3,0,2024-06-03T22:12:27.000Z,,,,"6/3/2024, 3:51:27 PM",3.655,101.1,88.7,41,2024-06-03T19:51:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 6:17:27 PM",3.65,113.4,62.8,0,2024-06-03T22:17:27.000Z,,,,"6/3/2024, 3:54:27 PM",3.656,101.1,88.7,42,2024-06-03T19:54:27.000Z,,,,,,,,,,,,,,,,,,,,,
